2025-01-29 20:22:26,476 - INFO - Use pytorch device_name: cpu
2025-01-29 20:22:26,477 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:24:13,002 - INFO - Loading text file...
2025-01-29 20:24:13,003 - INFO - Chunking text...
2025-01-29 20:24:13,006 - INFO - Computing embeddings...
2025-01-29 20:24:13,007 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:32:45,976 - INFO - Processed chunk 21/69 (Time: 0.41s, Estimated remaining: 18.11s)
2025-01-29 20:32:46,438 - INFO - Processed chunk 22/69 (Time: 0.46s, Estimated remaining: 17.92s)
2025-01-29 20:32:47,087 - INFO - Processed chunk 23/69 (Time: 0.65s, Estimated remaining: 18.07s)
2025-01-29 20:32:47,650 - INFO - Processed chunk 24/69 (Time: 0.56s, Estimated remaining: 18.00s)
2025-01-29 20:32:48,124 - INFO - Processed chunk 25/69 (Time: 0.47s, Estimated remaining: 17.73s)
2025-01-29 20:32:48,644 - INFO - Processed chunk 26/69 (Time: 0.52s, Estimated remaining: 17.52s)
2025-01-29 20:32:49,037 - INFO - Processed chunk 27/69 (Time: 0.39s, Estimated remaining: 17.09s)
2025-01-29 20:32:49,443 - INFO - Processed chunk 28/69 (Time: 0.41s, Estimated remaining: 16.68s)
2025-01-29 20:32:49,936 - INFO - Processed chunk 29/69 (Time: 0.49s, Estimated remaining: 16.39s)
2025-01-29 20:32:50,276 - INFO - Processed chunk 30/69 (Time: 0.34s, Estimated remaining: 15.89s)
2025-01-29 20:32:50,609 - INFO - Processed chunk 31/69 (Time: 0.33s, Estimated remaining: 15.39s)
2025-01-29 20:32:50,860 - INFO - Processed chunk 32/69 (Time: 0.25s, Estimated remaining: 14.81s)
2025-01-29 20:32:51,129 - INFO - Processed chunk 33/69 (Time: 0.27s, Estimated remaining: 14.27s)
2025-01-29 20:32:51,430 - INFO - Processed chunk 34/69 (Time: 0.30s, Estimated remaining: 13.77s)
2025-01-29 20:32:51,716 - INFO - Processed chunk 35/69 (Time: 0.29s, Estimated remaining: 13.27s)
2025-01-29 20:32:52,043 - INFO - Processed chunk 36/69 (Time: 0.33s, Estimated remaining: 12.82s)
2025-01-29 20:32:52,402 - INFO - Processed chunk 37/69 (Time: 0.36s, Estimated remaining: 12.41s)
2025-01-29 20:32:52,677 - INFO - Processed chunk 38/69 (Time: 0.28s, Estimated remaining: 11.93s)
2025-01-29 20:32:52,985 - INFO - Processed chunk 39/69 (Time: 0.31s, Estimated remaining: 11.49s)
2025-01-29 20:32:53,268 - INFO - Processed chunk 40/69 (Time: 0.28s, Estimated remaining: 11.03s)
2025-01-29 20:32:53,528 - INFO - Processed chunk 41/69 (Time: 0.26s, Estimated remaining: 10.57s)
2025-01-29 20:32:53,857 - INFO - Processed chunk 42/69 (Time: 0.33s, Estimated remaining: 10.16s)
2025-01-29 20:32:54,177 - INFO - Processed chunk 43/69 (Time: 0.32s, Estimated remaining: 9.75s)
2025-01-29 20:32:54,526 - INFO - Processed chunk 44/69 (Time: 0.35s, Estimated remaining: 9.36s)
2025-01-29 20:32:55,011 - INFO - Processed chunk 45/69 (Time: 0.48s, Estimated remaining: 9.04s)
2025-01-29 20:32:55,512 - INFO - Processed chunk 46/69 (Time: 0.50s, Estimated remaining: 8.73s)
2025-01-29 20:32:55,885 - INFO - Processed chunk 47/69 (Time: 0.37s, Estimated remaining: 8.35s)
2025-01-29 20:32:56,230 - INFO - Processed chunk 48/69 (Time: 0.34s, Estimated remaining: 7.95s)
2025-01-29 20:32:56,599 - INFO - Processed chunk 49/69 (Time: 0.37s, Estimated remaining: 7.57s)
2025-01-29 20:32:57,098 - INFO - Processed chunk 50/69 (Time: 0.50s, Estimated remaining: 7.24s)
2025-01-29 20:32:57,573 - INFO - Processed chunk 51/69 (Time: 0.47s, Estimated remaining: 6.89s)
2025-01-29 20:32:58,043 - INFO - Processed chunk 52/69 (Time: 0.47s, Estimated remaining: 6.54s)
2025-01-29 20:32:58,355 - INFO - Processed chunk 53/69 (Time: 0.31s, Estimated remaining: 6.13s)
2025-01-29 20:32:58,623 - INFO - Processed chunk 54/69 (Time: 0.27s, Estimated remaining: 5.71s)
2025-01-29 20:32:58,997 - INFO - Processed chunk 55/69 (Time: 0.37s, Estimated remaining: 5.33s)
2025-01-29 20:32:59,355 - INFO - Processed chunk 56/69 (Time: 0.36s, Estimated remaining: 4.95s)
2025-01-29 20:32:59,682 - INFO - Processed chunk 57/69 (Time: 0.33s, Estimated remaining: 4.55s)
2025-01-29 20:33:00,054 - INFO - Processed chunk 58/69 (Time: 0.37s, Estimated remaining: 4.17s)
2025-01-29 20:33:00,429 - INFO - Processed chunk 59/69 (Time: 0.37s, Estimated remaining: 3.79s)
2025-01-29 20:33:00,847 - INFO - Processed chunk 60/69 (Time: 0.42s, Estimated remaining: 3.42s)
2025-01-29 20:33:01,427 - INFO - Processed chunk 61/69 (Time: 0.58s, Estimated remaining: 3.07s)
2025-01-29 20:33:01,922 - INFO - Processed chunk 62/69 (Time: 0.50s, Estimated remaining: 2.69s)
2025-01-29 20:33:02,437 - INFO - Processed chunk 63/69 (Time: 0.51s, Estimated remaining: 2.32s)
2025-01-29 20:33:02,939 - INFO - Processed chunk 64/69 (Time: 0.50s, Estimated remaining: 1.94s)
2025-01-29 20:33:03,328 - INFO - Processed chunk 65/69 (Time: 0.39s, Estimated remaining: 1.56s)
2025-01-29 20:33:03,743 - INFO - Processed chunk 66/69 (Time: 0.42s, Estimated remaining: 1.17s)
2025-01-29 20:33:04,120 - INFO - Processed chunk 67/69 (Time: 0.38s, Estimated remaining: 0.78s)
